symbol,date,adjclose,close,high,low,open,volume
GLW,2006-06-30 05:30:00.0,20.492586,24.190001,24.5,23.74,23.9,9540900.0
GLW,2006-04-19 05:30:00.0,23.288184,27.49,27.639999,27.120001,27.120001,9314300.0
GLW,2003-09-24 05:30:00.0,7.988635,9.43,9.67,9.35,9.6,1.36903E7
IR,2015-08-10 05:30:00.0,60.312029,61.599998,61.830002,60.549999,60.580002,2683800.0
IR,2014-02-28 05:30:00.0,58.385819,61.139999,61.580002,60.529999,60.709999,2856100.0
COH,2014-02-20 05:30:00.0,43.495126,47.639999,48.099998,47.5,47.84,2385900.0
STT,2011-03-31 05:30:00.0,40.705,44.939999,45.34,44.630001,44.91,3374500.0
STT,2007-07-24 05:30:00.0,60.383374,68.650002,71.610001,68.379997,71.610001,4782700.0
STT,2005-01-25 05:30:00.0,38.292409,45.049999,45.849998,45.029999,45.169998,1484700.0
M,2014-01-16 05:30:00.0,52.475498,56.029999,56.099998,55.27,55.68,3546000.0
M,2011-06-15 05:30:00.0,24.357131,27.290001,27.719999,27.17,27.58,7074600.0
M,2007-01-22 05:30:00.0,32.883775,39.900002,40.720001,39.57,40.400002,6614200.0
M,2004-07-14 05:30:00.0,18.606959,46.549999,47.43,46.349998,47.110001,3969000.0
M,2004-02-25 05:30:00.0,20.893743,52.540001,52.75,50.950001,50.950001,4983400.0
M,2001-11-23 05:30:00.0,15.0578,38.209999,38.650002,37.25,37.25,1148000.0
M,2001-09-07 05:30:00.0,12.807603,32.5,33.560001,32.200001,33.549999,6190200.0
PBCT,2011-09-07 05:30:00.0,9.341538,11.81,11.81,11.32,11.32,6566500.0
PBCT,2010-03-17 05:30:00.0,11.523336,15.61,15.68,15.53,15.64,4111400.0
PBCT,2006-02-24 05:30:00.0,9.611763,31.129999,31.299995,30.860003,31.259989,237000.0
UNM,2015-03-04 05:30:00.0,32.356364,33.470001,33.619999,33.25,33.5,1291200.0
UNM,2013-06-28 05:30:00.0,27.47838,29.370001,29.700001,29.360001,29.690001,2394500.0
UNM,2008-06-03 05:30:00.0,20.18785,23.610001,23.84,23.35,23.84,2629900.0
UNM,2006-02-23 05:30:00.0,17.400359,21.01,21.25,20.969999,21.17,1276800.0
UNM,2001-03-23 05:30:00.0,19.749396,26.549999,27.27,26.35,26.549999,1122900.0
TSO,2012-08-06 05:30:00.0,30.438017,32.759998,33.060001,31.9,31.99,5146500.0
TSO,2012-05-07 05:30:00.0,20.1991,21.74,22.0,21.51,21.870001,3457900.0
TSO,2010-09-17 05:30:00.0,11.669766,12.56,12.64,12.34,12.46,4617800.0
QCOM,2012-12-19 05:30:00.0,57.148742,62.549999,63.540001,62.529999,63.310001,1.41418E7
QCOM,2008-02-29 05:30:00.0,35.858203,42.389999,42.900002,42.110001,42.619999,1.97018E7
QCOM,2006-02-16 05:30:00.0,39.580353,48.099998,48.110001,47.0,47.490002,1.39061E7
MMC,2007-12-17 05:30:00.0,19.122294,24.42,25.09,24.4,24.700001,9009200.0
MMC,2006-05-04 05:30:00.0,22.794267,30.25,30.49,30.15,30.23,2660500.0
MMC,2004-07-14 05:30:00.0,32.227726,44.59,44.709999,44.290001,44.400002,1231600.0
MMC,2002-02-15 05:30:00.0,35.753296,105.43,107.440002,104.75,107.349998,1793000.0
SCHW,2008-09-10 05:30:00.0,21.458941,23.790001,24.370001,23.190001,23.780001,1.60167E7
SCHW,2003-05-21 05:30:00.0,7.197091,8.73,8.8,8.57,8.63,4127000.0
HAR,2010-03-02 05:30:00.0,40.372862,43.16,43.75,42.889999,43.75,611700.0
HAR,2004-07-20 05:30:00.0,81.990302,88.050003,88.190002,86.169998,86.230003,399300.0
HAR,2001-02-06 05:30:00.0,16.677916,36.029999,36.299999,35.700001,36.060001,642200.0
ADSK,2015-06-25 05:30:00.0,53.299999,53.299999,54.09,53.259998,53.990002,1693000.0
ADSK,2015-02-17 05:30:00.0,61.130001,61.130001,61.139999,60.299999,60.580002,1464200.0
ADSK,2010-03-15 05:30:00.0,29.26,29.26,29.299999,28.969999,29.08,1316600.0
ADSK,2005-01-20 05:30:00.0,31.603702,31.620001,32.080002,31.110001,31.469999,3423100.0
ADSK,2004-12-29 05:30:00.0,38.280257,38.299999,38.790001,38.049999,38.529999,2474100.0
ADSK,2004-09-13 05:30:00.0,23.409206,46.889999,47.220001,46.580002,47.189999,2629200.0
ADSK,2002-08-23 05:30:00.0,6.633797,13.46,13.9,13.05,13.89,2309600.0
TROW,2003-08-20 05:30:00.0,16.113046,42.84,43.220001,42.639999,43.220001,1777200.0
TROW,2002-12-17 05:30:00.0,10.700323,28.92,29.450001,28.610001,29.299999,1813400.0
AFL,2006-03-15 05:30:00.0,36.282182,46.25,46.279999,45.91,46.25,1706100.0
AFL,2002-01-08 05:30:00.0,19.29655,25.540001,25.67,24.4,24.65,9792200.0
UNP,2014-10-06 05:30:00.0,104.944455,109.290001,110.839996,108.720001,110.410004,2650300.0
UNP,2008-05-01 05:30:00.0,31.037015,146.630005,147.949997,143.399994,145.270004,1.52852E7
UNP,2006-04-13 05:30:00.0,19.264655,93.519997,93.82,92.720001,93.400002,3157200.0
UNP,2003-09-25 05:30:00.0,11.470884,58.27,58.75,58.259998,58.549999,5403600.0
UNP,2002-06-03 05:30:00.0,11.638876,60.450001,61.66,60.099998,60.889999,2355200.0
AVY,2016-02-16 05:30:00.0,64.113604,64.830002,64.970001,63.689999,64.709999,946300.0
AVY,2016-01-15 05:30:00.0,58.288688,58.939999,59.189999,57.869999,58.23,965400.0
AVY,2014-04-01 05:30:00.0,48.286664,51.110001,51.150002,50.560001,50.93,533000.0
AVY,2012-03-07 05:30:00.0,25.232077,28.309999,28.74,28.040001,28.51,1064900.0
AVY,2009-06-08 05:30:00.0,23.108168,27.940001,28.16,27.43,28.139999,852300.0
AVY,2001-12-27 05:30:00.0,36.953293,55.93,56.099998,55.139999,56.0,124400.0
AVY,2001-12-21 05:30:00.0,36.8674,55.799999,56.279999,55.060001,56.049999,401900.0
BDX,2012-11-01 05:30:00.0,71.065182,76.279999,76.559998,75.029999,75.489998,725400.0
BDX,2011-10-12 05:30:00.0,67.47561,74.199997,74.900002,73.809998,74.040001,1610400.0
BAC,2016-07-20 05:30:00.0,14.4,14.4,14.43,14.26,14.35,7.92779E7
BAC,2016-06-30 05:30:00.0,13.27,13.27,13.38,13.07,13.37,1.257739E8
BAC,2014-10-23 05:30:00.0,16.234781,16.6,16.73,16.52,16.58,6.84366E7
BAC,2012-10-10 05:30:00.0,8.932721,9.21,9.27,9.06,9.19,1.106409E8
BAC,2011-11-04 05:30:00.0,6.258216,6.49,6.75,6.45,6.73,2.664463E8
BAC,2010-07-01 05:30:00.0,13.458343,14.02,14.35,13.5,14.32,2.567873E8
BAC,2003-05-14 05:30:00.0,26.657174,73.940002,74.559998,73.699997,74.5,7810200.0
BAC,2002-09-06 05:30:00.0,24.517262,69.290001,69.559998,67.93,68.050003,1.22518E7
BAC,2001-05-25 05:30:00.0,19.666972,58.709999,60.0,58.560001,60.0,9941600.0
EXC,2012-12-13 05:30:00.0,25.534608,29.68,30.030001,29.48,29.9,4406400.0
EXC,2010-02-23 05:30:00.0,32.85618,44.139999,44.689999,44.099998,44.529999,3796900.0
EXC,2008-03-17 05:30:00.0,54.769593,79.389999,80.629997,77.519997,78.010002,5347500.0
HCN,2016-05-20 05:30:00.0,67.791374,68.550003,69.110001,67.699997,68.919998,3383500.0
HCN,2015-07-16 05:30:00.0,63.510657,67.529999,68.0,67.07,67.699997,2798800.0
HCN,2013-10-15 05:30:00.0,54.654546,63.220001,63.889999,62.950001,63.16,1448000.0
HCN,2011-11-02 05:30:00.0,40.917129,52.240002,52.990002,51.490002,52.48,2691400.0
HCN,2011-07-15 05:30:00.0,40.55318,52.57,52.599998,51.84,52.139999,1432500.0
HCN,2011-03-28 05:30:00.0,39.301882,51.650002,51.82,51.389999,51.389999,1996600.0
HCN,2011-01-13 05:30:00.0,35.330959,47.09,47.130001,46.759998,47.0,1791100.0
HCN,2010-11-08 05:30:00.0,37.866925,50.470001,50.66,50.02,50.119999,1515100.0
HCN,2008-05-09 05:30:00.0,30.922006,48.43,48.52,47.25,47.299999,1096000.0
TAP,2015-02-25 05:30:00.0,73.830531,75.68,76.220001,75.440002,75.940002,858900.0
TAP,2013-12-31 05:30:00.0,53.292516,56.150002,56.490002,56.009998,56.009998,550600.0
TAP,2012-11-20 05:30:00.0,36.848105,40.16,40.34,39.91,40.34,1144600.0
TAP,2007-11-12 05:30:00.0,42.20577,51.669998,53.25,51.509998,52.419998,1153800.0
TAP,2002-04-12 05:30:00.0,25.044448,66.949997,67.300003,66.339996,66.900002,323600.0
AME,2015-03-24 05:30:00.0,52.749723,53.209999,53.790001,53.209999,53.57,680900.0
AME,2009-04-08 05:30:00.0,13.662823,32.159993,32.609993,31.689991,32.269996,1429200.0
AME,2007-07-10 05:30:00.0,16.968869,40.369997,41.100008,40.310009,40.959988,1626400.0
